Airport,PageRank
DEN,0.023006611991622117
ORD,0.021227036188943907
DFW,0.016695127038398004
ATL,0.015227434339321607
ANC,0.014968881232773634
BET,0.013888565020578848
PHX,0.013276416471232384
FAI,0.0122098645369984
LAX,0.012008919832989124
CLT,0.011513457839476035
MSP,0.011447526338947965
SEA,0.011231000918577053
IAH,0.01113112960370171
MCO,0.010937143675363964
LAS,0.010907569263556323
MEM,0.010389167865006963
SLC,0.009830785882465599
DTW,0.00868070974592245
PHL,0.008363365663826268
EWR,0.00835937634311445
SDF,0.007470150680295497
MIA,0.007432793115940793
WFB,0.007243070791987455
IND,0.007189577106561181
FLL,0.007099269539718866
IAD,0.006785814236072413
BNA,0.006728763064766155
BOS,0.006639967675266458
TPA,0.0065747276039850346
SFO,0.006549589028535909
CVG,0.006289634911242029
PDX,0.005770978728496248
OME,0.005768023096152613
BWI,0.005624478380938832
SAT,0.00560813058038824
A43,0.005519250431215355
JNU,0.005336106750403871
JFK,0.005106053275577291
AUS,0.0049213104527018135
ONT,0.004751802314780748
RSW,0.004748500696595227
SAN,0.004609588698111525
OTZ,0.004601404054165195
STL,0.004459500842046223
MDW,0.004442029789862346
RDU,0.004295863873806607
HNL,0.004070330896257554
OAK,0.004046161128808241
ANI,0.0039174322005526944
MSY,0.0038797397209802387
MCI,0.0038132935901424394
SFB,0.0037739930991787366
SMF,0.003643690057791386
PIT,0.0036090118769355707
DLG,0.0035560742287766064
HOU,0.0035527557268566178
CLE,0.0035192027970477194
SJU,0.003516633074935163
LGA,0.0034357083492522686
AKN,0.003399826551823179
DCA,0.003368389580256668
ADQ,0.0033117838632680014
DUT,0.003300899719396392
DAL,0.0032622824441559603
HPN,0.003204122846331975
YIP,0.0031223847513955666
MKE,0.0031138022727917086
ELP,0.0029969376620001945
HHR,0.002987699349388656
PBI,0.0029831439279213575
LKE,0.0029326969209355516
AZA,0.002876674302072814
CDB,0.002733165567797411
SIT,0.002635540045287851
CHS,0.0026353158587300346
CMH,0.0026313747754930046
UNK,0.0026150640942834646
GSO,0.0025987412902667923
RNO,0.0025486005280357057
GEG,0.002453518044195692
OKC,0.002437960130538744
BDL,0.0024320733408220523
BOI,0.002430428401045663
ILI,0.0024001404334540195
MRI,0.002368409446803614
RIC,0.002321164010398348
GAL,0.0023206827353701807
SJC,0.002316014694275065
JAX,0.0023158359441578435
RFD,0.0022641732162896598
OGG,0.002258656032084545
SRQ,0.0022493069869564644
GPT,0.0022448899025284534
AFW,0.002200149980726058
OMA,0.0021713134357883848
TUS,0.0021427078106892993
GRR,0.002130005126879747
PIE,0.0021037482403569122
SCC,0.0020954918217571477
SNA,0.002094667564902142
ABQ,0.0020687191331683415
EMK,0.002068636850964503
KSM,0.0020631663401522666
TUL,0.002054493492052117
PSP,0.001987052590709525
MQY,0.001937127589006448
ORF,0.0018994955463007258
LRD,0.00184785490509491
BUF,0.001802336223989533
BHM,0.0017967464040192966
BRW,0.001786355510912032
PGD,0.0017467760070395528
BIL,0.001721799828563484
COS,0.001704751113541925
FAR,0.0016933559001676415
SAV,0.0016858440800677982
TYS,0.0016502888237215903
BLD,0.0016293710180881218
HOM,0.0016065011816606032
BZN,0.0016001998288224682
FSD,0.0015716926657795003
LIT,0.001567500604854609
MYR,0.0015220195512055887
DSM,0.0015108187544736406
BUR,0.0015036642506564418
GCN,0.0014839285063797348
MCG,0.0014789276314724669
PQS,0.0014588800152186552
IFP,0.0014537964145554148
LGB,0.0014439654344696956
ICT,0.0014433936254228572
FAT,0.0014306382199949731
GKN,0.0014239771109867485
GSP,0.001408418811655727
TEB,0.0014063642991023035
SYR,0.0013897087462073432
CAE,0.0013727171821343418
FYU,0.001372707045013256
CID,0.001341225992388681
KOT,0.0013258887881225255
MSN,0.0013205730903933677
SGF,0.001299543926052563
KTB,0.0012825001173388262
BRO,0.0012729231354840311
BDR,0.001264967122167328
AKP,0.001260421092141913
ALB,0.0012587517209066035
GAI,0.0012550782826243926
KTN,0.0012483661937381263
MDT,0.0012321121321140806
BID,0.0011990410260803433
CEF,0.0011990410260803433
WST,0.0011990410260803433
SPB,0.0011990410260803433
SSB,0.0011990410260803433
RDG,0.0011990410260803433
MOU,0.0011977350190043232
ALZ,0.0011973046610653172
PNS,0.0011939285382034726
FBS,0.001190371386550473
PVD,0.001185520882362566
LBB,0.0011846787749079425
PHO,0.0011681654045921895
SBA,0.0011672291095974321
KOA,0.001137744740751169
STT,0.001135611896889856
BED,0.0011307639582680657
DOF,0.0011284170569876677
PWM,0.0011282841459052152
OPF,0.001127925549387512
SNP,0.0011256432530521658
UGI,0.0011097595630723649
KPY,0.0011097595630723649
KLL,0.0011089279741455125
SPN,0.0011043092059391762
FWA,0.0010929546761251395
KKA,0.0010915299013921742
AUK,0.0010859483385330438
OOK,0.0010829385054079593
KWN,0.0010719724320802995
CGA,0.001063600095881805
KOZ,0.0010587156810756093
RSH,0.0010553101469649778
PIP,0.0010508869507334661
KZB,0.0010494464558418986
RBY,0.0010458580542925182
AOS,0.001042594803046947
DQS,0.001041353325707685
KKB,0.0010328311978005345
SHV,0.0010289741215612934
VEE,0.0010270114693085028
RDM,0.0010226419130140417
GUM,0.001019336382500341
HUS,0.0010105636581462397
DAY,0.0010010208976026348
HSL,0.000998159770238828
SBN,0.0009980739337200292
PTH,0.0009943783333824857
STG,0.000990150185569787
KPN,0.0009884930457433004
EEK,0.0009882449765049924
KAL,0.0009850898204776175
BVU,0.000983614730819413
XNA,0.0009831723521030854
GJT,0.0009732443881374001
MFR,0.0009710066827493132
ROC,0.0009685033997908152
FNT,0.0009565102540559337
ABE,0.0009542688169236935
WTL,0.0009446671242581061
MLL,0.0009443294152137369
EUG,0.0009410061223980345
AEX,0.0009380681563431763
WTK,0.0009357943190486449
SHH,0.0009294192710929802
BFI,0.0009256163484220774
EYW,0.0009135225492964093
ATT,0.0009124822469575595
IAN,0.000910689985792518
ECP,0.0009101198349177114
LEX,0.0009096938783666986
WWP,0.0009080460676622183
LCK,0.0009052908261248124
KEK,0.0008995918123110053
KEH,0.0008920825396017138
TYE,0.0008917503854756201
KPB,0.0008899849311926871
KCC,0.0008858667808689282
TNK,0.000885230997628257
SVA,0.0008817457126716658
HSV,0.0008804827779444581
CYF,0.0008786449022661436
SYB,0.0008784037884153847
MFE,0.0008761640315307726
GST,0.0008759105928357602
HNS,0.0008739655488861134
DHB,0.0008732412324647192
PTK,0.0008704901047178952
KNW,0.0008704814522662936
HNH,0.0008687655331866995
AVL,0.0008651627566147418
KWP,0.0008647477082926193
ARC,0.0008611134525144143
RDB,0.0008536509250550064
KWK,0.0008534354066510484
BTR,0.0008525922818363241
VPS,0.0008493822503287086
RLU,0.0008461979987972
CPX,0.0008453534818031821
NME,0.0008450376721723463
ASE,0.0008440997243205216
WBB,0.000843408676760577
SHG,0.0008431851308136093
KKH,0.0008355506764807499
SMK,0.0008342892677783995
NUP,0.0008317631015782646
VAK,0.0008302588429212091
WBQ,0.0008277136994820312
KYU,0.0008276938181000484
WAA,0.0008257877400657124
TLT,0.00081784706539173
ORV,0.0008159741944982154
KUK,0.00081499480117281
MAF,0.0008145798767080965
SKK,0.0008138639656282939
7AK,0.0008111299082655479
AGN,0.0008106050287886579
ILN,0.0008053797243546515
AET,0.0008040588064312623
ABL,0.0008025981215903446
EDA,0.0008004765258971321
PPV,0.0008004765258971321
JAC,0.0007951456330775966
KLN,0.0007905228548325896
PIA,0.0007835436935328352
KPV,0.0007833169904995843
ELI,0.0007832589479354185
ORI,0.0007811065649345425
GLV,0.0007809008023749097
HDN,0.0007776035768457749
NCN,0.0007717512516692573
NKI,0.0007707527821714198
MRY,0.000769902170352717
RCE,0.0007698847495747887
KKI,0.0007695490964395447
ROP,0.000768366884782611
WLK,0.0007676635280472104
ACK,0.0007647651900378038
BLI,0.0007634738982785292
ROA,0.0007617553103169935
FRG,0.0007581029434931912
SGY,0.0007571593639431968
HYG,0.0007560997277692794
BKC,0.0007559280553943528
KVL,0.000754894456921994
ACY,0.0007546655117761625
TKF,0.0007497375704334627
KLG,0.0007423783495550975
ANV,0.0007398305844039217
KBC,0.0007359245934100375
PGM,0.0007355072192023711
SOV,0.0007355072192023711
KCG,0.0007321688020524657
KPR,0.0007287590380080783
RMP,0.000728577430691438
GTF,0.0007228574634844743
KTS,0.0007200073123166926
AGS,0.0007198079913299136
UGS,0.0007190110024575696
YAK,0.0007138186820879434
WNA,0.0007112446645550319
NNL,0.0007100415911832621
AIN,0.0007092044685453381
WWT,0.0007082309028078005
KXA,0.0007069753323606853
STX,0.00070103595440242
PTA,0.0007002109025751331
RIV,0.000699718729341382
TLH,0.0006987576812279455
ENA,0.0006986849637839014
CIK,0.0006982143315584441
SXP,0.0006970098289613336
KMY,0.0006952482311662616
TAL,0.0006952404974495889
MTM,0.0006929069841320459
HYL,0.0006929069841320459
GRB,0.0006928020425627211
ZXH,0.0006885439559668554
NUL,0.0006840839613131344
JAN,0.000683459765067549
TOL,0.0006816071870887205
CHA,0.0006791916899791222
SHX,0.0006761132673955472
KGK,0.000674864751109397
KMO,0.0006661115340841663
BIS,0.0006655055702049632
MTJ,0.0006652720244398836
KNK,0.0006651075203043897
RAP,0.000663823605092209
VNY,0.0006610154205430442
ILM,0.0006575851405167636
HCR,0.0006553615195842022
HRL,0.0006552066480229998
MLI,0.0006540017575571336
MSO,0.0006538809732833578
AKK,0.0006532161928391159
STS,0.0006432097330083714
TLA,0.000642985809801066
OBU,0.0006423151556033867
1G4,0.0006415112541458316
PPC,0.000641324697648267
NIB,0.000641014370951311
OLH,0.0006403807089174583
WMK,0.0006366912334996801
SQL,0.0006352963231871048
SIG,0.0006340604732011593
MVY,0.0006317747696088624
HPB,0.0006314810796237546
PSC,0.0006310874210257626
PSG,0.0006286057378678352
ATW,0.0006252625009515581
SCM,0.000624643360500774
ESD,0.0006240022978989408
WSN,0.0006216906315507795
PKB,0.000618615650702538
MHT,0.0006174774834871073
PDT,0.000615941401793346
ACT,0.0006157738948362394
BTI,0.0006140257274401002
EGE,0.0006103780523065664
VQS,0.0006100554241420281
DGB,0.0006063436564542242
06A,0.0006063436564542242
KOY,0.0006063436564542242
KEB,0.0006062405207675299
COU,0.0006056943349256791
BTV,0.0006020384672678523
KCL,0.0006017859466395295
CPR,0.0006009032774578814
GRK,0.0006003543072798506
SGU,0.0005974740598291412
FCA,0.0005906621343789857
IYK,0.0005897267967314399
CLL,0.0005890422198113888
MKK,0.0005862292678435629
KLW,0.0005861087300044223
TIQ,0.0005860454229758551
LIH,0.0005855613003750197
KYK,0.000585175741750748
ISP,0.000584540523005956
SDP,0.0005823000294651388
FRD,0.0005813149694515074
PEC,0.0005797376566859224
AKI,0.0005764805788546665
TKE,0.0005694234535313487
LAL,0.0005678901481154745
GYY,0.0005676996706973083
KAE,0.0005614524386072128
LNK,0.0005611727590506075
GNU,0.0005602595173298309
GAM,0.0005594945215611103
PDB,0.0005563250874939221
JRV,0.0005530219671083394
SWF,0.0005529107512365695
IKO,0.000552120166509859
HYA,0.0005517203461766596
CMI,0.0005513933355541385
CDV,0.0005510776412134292
MTX,0.0005498045473067671
GNV,0.0005453236556174699
BGR,0.000542924025400551
SEE,0.0005385445717738464
TCT,0.0005362569959964252
DTR,0.0005359693273548137
PIZ,0.0005352719583461764
DRG,0.0005249061659093333
IGG,0.0005248605240092683
MKC,0.0005235463723830982
EVV,0.0005188396458198005
ELM,0.0005186432716708375
PAE,0.00051793741558271
CAK,0.0005177184232119462
TEK,0.0005169744502623306
FLG,0.0005146855440477274
KWT,0.0005144104708454076
USA,0.0005142589869292376
MYU,0.0005122968086253642
PDK,0.0005115138280949187
SBD,0.0005088890368809258
FYV,0.0005012611689262355
TRI,0.0005010348959065341
TVC,0.0004994966072719943
GFK,0.0004993126256571309
CXF,0.0004924003278132684
CHO,0.0004910722274119998
IDA,0.0004910529338664282
TOG,0.00048815643899614494
KGX,0.0004868688200795066
ATK,0.0004866031280482078
MXY,0.0004824512528517573
MYK,0.0004824512528517573
BMI,0.00048227774140422396
BFL,0.0004815249975743633
WRI,0.00048125705742144956
CKB,0.0004801861520687567
AMA,0.00048011963933931943
KCQ,0.0004796910200439593
MOT,0.00047947361255675663
SCK,0.0004793074116393147
BLV,0.000475112299455274
EXI,0.00047195256299876207
EAA,0.00046814458734647786
CLP,0.00046757035776030125
MLY,0.0004660672323623647
ADS,0.00046578660740061514
FLO,0.00046563976403803754
BKW,0.0004650096783923795
YKM,0.0004622088713792283
WMO,0.0004608785368461228
DRO,0.0004562895069375104
PTU,0.00045590270515909605
HTS,0.0004558161128893747
KQA,0.00045564028611476924
CRP,0.0004549111168277748
BIH,0.0004542490185218697
CPS,0.00044931139614797844
SRV,0.00044749321697658983
RDV,0.00044660782080202695
